S.No,Party Name,Date,Due Date,Total Amount,Balance,Type,Status
85,Business Partner 16,31/05/2024,22/08/2024,361512,2004.52,Purchase Order,Overdue
86,Business Partner 15,29/06/2024,26/09/2024,272559,126617.25,Debit Note,Pending
87,Business Partner 08,12/04/2025,29/04/2025,421173,195695.19,Debit Note,Order Overdue
88,Business Partner 39,20/11/2024,15/01/2025,322206,262599.99,Debit Note,Overdue
89,Business Partner 36,01/04/2025,21/04/2025,390889,336748.88,Credit Note,Partially Paid
90,Business Partner 49,10/09/2024,30/11/2024,146391,112108.23,Debit Note,Overdue
91,Business Partner 41,01/09/2024,06/10/2024,231619,17946.62,Payment,Pending
92,Business Partner 18,09/12/2024,18/01/2025,469203,253441.04,Sales Invoice,Pending
93,Business Partner 15,27/01/2025,25/04/2025,81113,57299.78,Purchase Order,Overdue
94,Business Partner 27,04/12/2024,11/02/2025,245278,101980.27,Sales Invoice,Overdue
95,Business Partner 25,27/02/2026,12/05/2026,497008,345680.49,Debit Note,Overdue
96,Business Partner 31,07/01/2024,21/02/2024,157559,118716.79,Credit Note,Order Overdue
97,Business Partner 48,22/01/2026,01/04/2026,420361,253583.86,Sales Invoice,Overdue
98,Business Partner 15,06/10/2024,30/11/2024,255616,7419.21,Payment,Overdue
99,Business Partner 47,18/06/2024,16/08/2024,483104,61657.5,Debit Note,Order Overdue
100,Business Partner 02,07/02/2025,23/04/2025,296903,196846.62,Purchase Order,Overdue
101,Business Partner 09,06/06/2026,04/08/2026,96278,4841.3,Credit Note,Partially Paid
102,Business Partner 14,10/04/2025,21/05/2025,177947,135458.54,Credit Note,Partially Paid
103,Business Partner 49,01/05/2026,23/06/2026,133262,111261.9,Credit Note,Paid
104,Business Partner 48,06/07/2025,12/07/2025,184480,41364.51,Purchase Order,Paid
105,Business Partner 49,01/02/2024,03/03/2024,105522,88557.11,Debit Note,Pending
106,Business Partner 16,09/05/2024,08/07/2024,351989,40263.83,Sales Invoice,Overdue
107,Business Partner 45,19/09/2024,05/11/2024,88969,53905.67,Purchase Order,Pending
108,Business Partner 20,20/04/2024,03/07/2024,14462,13433.57,Debit Note,Overdue
109,Business Partner 26,02/01/2026,27/01/2026,40844,24183.65,Sales Invoice,Paid
110,Business Partner 45,02/03/2026,09/04/2026,446798,305725.57,Purchase Order,Order Overdue
111,Business Partner 03,21/12/2024,27/02/2025,225593,149234.58,Purchase Order,Order Overdue
112,Business Partner 42,15/12/2024,16/12/2024,446422,187523.46,Credit Note,Paid
113,Business Partner 28,05/01/2025,27/03/2025,468442,388201.31,Sales Invoice,Overdue
114,Business Partner 12,21/01/2026,28/03/2026,342027,92375.47,Debit Note,Overdue
115,Business Partner 30,22/03/2025,05/06/2025,141716,45675.72,Sales Invoice,Paid
116,Business Partner 18,06/04/2025,07/05/2025,394465,183311.23,Debit Note,Overdue
117,Business Partner 22,30/01/2024,02/04/2024,447144,145328.14,Credit Note,Pending
118,Business Partner 23,27/03/2026,29/04/2026,179435,50180.52,Debit Note,Partially Paid
119,Business Partner 36,11/01/2024,17/03/2024,498057,95156.99,Sales Invoice,Overdue
120,Business Partner 32,22/07/2025,21/08/2025,363078,172858.93,Credit Note,Overdue
121,Business Partner 02,05/04/2024,12/05/2024,117180,47387.72,Sales Invoice,Partially Paid
122,Business Partner 43,18/08/2025,04/10/2025,249124,137883.4,Payment,Overdue
123,Business Partner 48,17/07/2025,28/08/2025,185450,130344.45,Payment,Partially Paid
124,Business Partner 17,24/08/2024,08/09/2024,379160,73020.26,Purchase Order,Order Overdue
125,Business Partner 49,07/12/2025,30/12/2025,101422,21946.16,Credit Note,Partially Paid
126,Business Partner 47,26/08/2025,01/11/2025,313890,88830.46,Purchase Order,Pending
127,Business Partner 19,20/08/2024,05/10/2024,95079,28739.3,Debit Note,Pending
128,Business Partner 18,16/02/2024,22/02/2024,291119,85046.53,Sales Invoice,Overdue
129,Business Partner 07,12/06/2026,13/06/2026,301974,85863.08,Credit Note,Overdue
130,Business Partner 22,07/07/2024,13/07/2024,133371,125510.59,Credit Note,Paid
131,Business Partner 05,14/02/2025,17/04/2025,39840,22988.52,Purchase Order,Pending
132,Business Partner 10,10/04/2026,21/06/2026,498615,151496.94,Sales Invoice,Paid
133,Business Partner 36,21/02/2026,15/04/2026,318885,190095.91,Debit Note,Pending
134,Business Partner 50,19/06/2025,06/08/2025,237199,215496.33,Payment,Order Overdue
135,Business Partner 28,08/11/2024,19/01/2025,326597,19671.04,Purchase Order,Pending
136,Business Partner 41,04/08/2024,06/09/2024,347254,28192.67,Sales Invoice,Pending
137,Business Partner 36,17/03/2024,06/04/2024,2402,981.26,Debit Note,Overdue
138,Business Partner 19,03/02/2024,03/03/2024,152049,107491.93,Credit Note,Paid
139,Business Partner 44,27/08/2024,29/09/2024,414048,327614.55,Debit Note,Pending
140,Business Partner 28,27/04/2024,05/07/2024,118864,76980.45,Payment,Pending
141,Business Partner 05,02/03/2024,23/03/2024,416565,128140.31,Debit Note,Partially Paid
142,Business Partner 29,07/05/2024,05/07/2024,362065,110100.78,Credit Note,Partially Paid
143,Business Partner 33,06/07/2025,07/09/2025,230511,18542.73,Purchase Order,Overdue
144,Business Partner 48,26/11/2024,11/02/2025,132264,3420.99,Sales Invoice,Order Overdue
145,Business Partner 38,22/01/2024,17/04/2024,431661,116337.4,Purchase Order,Pending
146,Business Partner 31,15/06/2025,06/09/2025,232855,213312.13,Sales Invoice,Order Overdue
147,Business Partner 28,12/10/2025,13/12/2025,48837,22953.9,Credit Note,Partially Paid
148,Business Partner 21,17/11/2025,30/11/2025,450699,72483.6,Credit Note,Overdue
149,Business Partner 19,09/11/2025,30/12/2025,427542,325145.59,Purchase Order,Overdue
150,Business Partner 06,18/11/2024,20/12/2024,170488,19763.24,Credit Note,Order Overdue
151,Business Partner 01,04/11/2025,12/01/2026,243208,100505.12,Sales Invoice,Order Overdue
152,Business Partner 24,29/09/2025,01/12/2025,328894,145384.62,Purchase Order,Pending
153,Business Partner 18,16/07/2025,01/08/2025,487367,140375.9,Credit Note,Paid
154,Business Partner 02,07/10/2025,23/12/2025,420070,100521.68,Sales Invoice,Partially Paid
155,Business Partner 36,15/01/2024,25/03/2024,214904,20031.03,Purchase Order,Overdue
156,Business Partner 08,25/10/2025,13/11/2025,262292,244627.44,Payment,Order Overdue
157,Business Partner 46,06/10/2024,28/11/2024,438635,211641.2,Credit Note,Pending
158,Business Partner 30,18/07/2025,05/08/2025,202109,38524.07,Debit Note,Order Overdue
159,Business Partner 48,19/06/2026,06/07/2026,453998,31693.64,Credit Note,Partially Paid
160,Business Partner 33,30/09/2024,30/09/2024,149289,108391.43,Debit Note,Order Overdue
161,Business Partner 43,16/05/2025,04/06/2025,235119,126630.53,Payment,Partially Paid
162,Business Partner 36,20/02/2026,30/04/2026,198766,90507.03,Payment,Pending
163,Business Partner 45,01/09/2024,13/11/2024,201787,47129.87,Credit Note,Paid
164,Business Partner 21,01/02/2026,02/04/2026,370742,338646.93,Credit Note,Overdue
165,Business Partner 43,22/03/2026,13/06/2026,80746,39995.81,Purchase Order,Pending
166,Business Partner 33,27/08/2025,08/10/2025,456973,45863.91,Credit Note,Paid
167,Business Partner 34,12/04/2025,13/04/2025,379768,54745.61,Sales Invoice,Paid
168,Business Partner 31,11/03/2026,13/04/2026,178503,111253.67,Credit Note,Paid
169,Business Partner 22,22/05/2026,16/08/2026,451542,240952.89,Payment,Overdue
170,Business Partner 35,06/02/2024,25/04/2024,36872,8656.45,Payment,Pending
171,Business Partner 48,02/04/2024,27/05/2024,52612,40004.57,Purchase Order,Overdue
172,Business Partner 11,11/12/2025,18/01/2026,474654,13739.93,Payment,Paid
173,Business Partner 19,02/01/2025,18/02/2025,226803,33015.67,Debit Note,Overdue
174,Business Partner 37,29/11/2025,22/12/2025,90120,15777.25,Debit Note,Overdue
175,Business Partner 40,30/11/2025,30/12/2025,261920,239088.18,Sales Invoice,Pending
176,Business Partner 30,15/10/2025,16/11/2025,241947,61775.53,Purchase Order,Overdue
177,Business Partner 19,24/11/2025,01/02/2026,83824,6191.4,Payment,Order Overdue
178,Business Partner 20,16/10/2025,09/12/2025,362923,90766.4,Payment,Pending
179,Business Partner 25,23/05/2026,23/07/2026,56917,13501.04,Debit Note,Partially Paid
180,Business Partner 37,29/10/2024,26/01/2025,155785,3417.86,Credit Note,Partially Paid
181,Business Partner 01,02/08/2025,28/10/2025,409059,304613.49,Purchase Order,Order Overdue
182,Business Partner 48,23/05/2025,28/06/2025,407711,325704.06,Debit Note,Partially Paid
183,Business Partner 15,13/10/2025,06/11/2025,326525,81835.92,Sales Invoice,Paid
184,Business Partner 41,23/10/2025,28/10/2025,162969,128519.06,Purchase Order,Order Overdue
185,Business Partner 24,19/01/2026,04/02/2026,48255,43894.09,Payment,Overdue
186,Business Partner 12,24/07/2024,09/08/2024,413359,222969.05,Payment,Order Overdue
187,Business Partner 33,06/10/2024,27/10/2024,135726,124060.21,Credit Note,Partially Paid
188,Business Partner 48,10/06/2026,23/07/2026,422649,48676.36,Purchase Order,Pending
189,Business Partner 49,19/08/2024,13/11/2024,380698,256745.1,Credit Note,Order Overdue
190,Business Partner 24,02/04/2024,22/05/2024,8297,2194.21,Purchase Order,Overdue
191,Business Partner 24,19/11/2025,13/02/2026,138448,80931.18,Payment,Paid
192,Business Partner 44,27/08/2024,26/10/2024,14120,8748.0,Debit Note,Partially Paid
193,Business Partner 40,14/08/2024,04/11/2024,34143,21694.6,Credit Note,Partially Paid
194,Business Partner 42,22/02/2025,08/03/2025,74283,3368.5,Purchase Order,Partially Paid
195,Business Partner 32,28/04/2024,10/05/2024,124102,110110.65,Sales Invoice,Overdue
196,Business Partner 30,14/01/2025,09/04/2025,498748,370639.65,Debit Note,Overdue
197,Business Partner 38,30/01/2026,18/02/2026,465211,193008.85,Purchase Order,Overdue
198,Business Partner 40,21/02/2025,28/03/2025,18152,12529.97,Sales Invoice,Overdue
199,Business Partner 29,29/08/2024,14/10/2024,53090,52077.45,Payment,Order Overdue
200,Business Partner 42,02/01/2025,09/01/2025,209739,57863.1,Purchase Order,Overdue
201,Business Partner 06,09/11/2025,06/12/2025,337437,215788.57,Purchase Order,Paid
202,Business Partner 22,06/09/2024,22/09/2024,413603,233511.14,Purchase Order,Order Overdue
203,Business Partner 14,23/08/2025,19/09/2025,427273,371597.37,Payment,Pending
204,Business Partner 39,03/01/2024,07/02/2024,451052,443847.86,Sales Invoice,Order Overdue
205,Business Partner 17,28/03/2026,19/04/2026,58633,38759.79,Purchase Order,Pending
206,Business Partner 01,01/01/2025,31/01/2025,309728,100281.09,Sales Invoice,Partially Paid
207,Business Partner 04,09/05/2024,01/07/2024,276820,31460.4,Purchase Order,Overdue
208,Business Partner 29,07/03/2026,22/04/2026,270084,160339.69,Credit Note,Order Overdue
209,Business Partner 15,21/09/2025,26/09/2025,382284,299415.15,Debit Note,Partially Paid
210,Business Partner 30,20/10/2025,23/10/2025,32890,32843.52,Credit Note,Overdue
211,Business Partner 44,20/04/2024,21/06/2024,374503,340685.69,Purchase Order,Paid
212,Business Partner 21,14/09/2025,02/10/2025,35436,4471.73,Debit Note,Order Overdue
213,Business Partner 36,30/12/2025,09/02/2026,200703,199624.77,Debit Note,Partially Paid
214,Business Partner 30,01/06/2025,17/08/2025,226548,22468.68,Purchase Order,Order Overdue
215,Business Partner 47,05/06/2026,02/07/2026,226480,102268.16,Sales Invoice,Overdue
216,Business Partner 22,27/04/2026,24/06/2026,210049,87378.21,Purchase Order,Partially Paid
217,Business Partner 28,16/11/2024,09/02/2025,134635,50394.02,Sales Invoice,Overdue
218,Business Partner 05,03/04/2024,13/04/2024,49879,21541.57,Payment,Pending
219,Business Partner 36,02/03/2024,16/05/2024,295433,165939.81,Purchase Order,Overdue
220,Business Partner 23,13/06/2026,06/09/2026,494423,370957.79,Purchase Order,Partially Paid
221,Business Partner 39,15/11/2024,30/12/2024,55316,31968.14,Sales Invoice,Pending
222,Business Partner 43,08/05/2025,05/06/2025,445216,48180.56,Debit Note,Partially Paid
223,Business Partner 08,19/02/2026,26/03/2026,301993,68298.46,Credit Note,Order Overdue
224,Business Partner 50,18/04/2026,06/07/2026,322689,217807.56,Debit Note,Paid
225,Business Partner 39,04/11/2025,31/01/2026,141219,4088.74,Payment,Partially Paid
226,Business Partner 22,25/12/2024,25/12/2024,96108,83600.76,Debit Note,Overdue
227,Business Partner 05,25/05/2024,14/08/2024,17073,1566.58,Debit Note,Pending
228,Business Partner 25,05/03/2025,02/05/2025,179727,28290.7,Payment,Partially Paid
229,Business Partner 50,04/08/2025,19/10/2025,45541,40228.29,Sales Invoice,Pending
230,Business Partner 49,24/09/2025,30/09/2025,354353,28908.66,Credit Note,Overdue
231,Business Partner 32,13/09/2025,08/11/2025,218151,59591.62,Debit Note,Paid
232,Business Partner 23,16/03/2025,30/03/2025,149502,101394.93,Debit Note,Overdue
233,Business Partner 34,14/11/2025,23/12/2025,24811,5471.28,Debit Note,Paid
234,Business Partner 01,28/07/2024,04/09/2024,496622,104903.44,Sales Invoice,Partially Paid
235,Business Partner 19,01/12/2024,16/12/2024,5052,2512.79,Credit Note,Pending
236,Business Partner 09,24/01/2025,02/04/2025,369926,85123.94,Debit Note,Partially Paid
237,Business Partner 05,10/02/2025,15/02/2025,229704,4305.01,Purchase Order,Partially Paid
238,Business Partner 37,15/03/2025,27/05/2025,213034,151147.4,Credit Note,Partially Paid
239,Business Partner 08,18/02/2025,20/02/2025,171272,29437.06,Debit Note,Overdue
240,Business Partner 45,05/01/2025,16/01/2025,229962,194199.31,Sales Invoice,Overdue
241,Business Partner 38,14/02/2025,22/04/2025,42233,16714.41,Payment,Partially Paid
242,Business Partner 15,07/12/2024,28/12/2024,41044,20952.28,Purchase Order,Order Overdue
243,Business Partner 33,17/07/2024,30/08/2024,185077,134621.14,Sales Invoice,Pending
244,Business Partner 07,29/05/2024,30/06/2024,104427,18117.98,Sales Invoice,Paid
245,Business Partner 12,02/03/2026,21/05/2026,260059,120655.17,Debit Note,Order Overdue
246,Business Partner 29,28/11/2025,08/02/2026,338112,214801.99,Debit Note,Partially Paid
247,Business Partner 41,19/11/2024,08/12/2024,231562,15812.5,Credit Note,Partially Paid
248,Business Partner 18,28/08/2025,04/09/2025,185519,94120.63,Payment,Overdue
249,Business Partner 29,08/02/2024,15/02/2024,194324,161618.62,Purchase Order,Paid
250,Business Partner 40,31/08/2025,03/11/2025,202579,93735.67,Debit Note,Paid
251,Business Partner 29,09/04/2026,21/06/2026,342750,64519.08,Debit Note,Overdue
252,Business Partner 33,03/06/2024,10/06/2024,237203,24550.96,Payment,Paid
253,Business Partner 33,23/10/2025,14/11/2025,21521,5331.69,Credit Note,Overdue
254,Business Partner 34,19/06/2025,05/09/2025,84228,30650.4,Payment,Overdue
255,Business Partner 27,04/03/2026,16/04/2026,356937,213407.59,Payment,Paid
256,Business Partner 22,06/04/2024,16/06/2024,356666,137874.31,Payment,Order Overdue
257,Business Partner 10,07/12/2024,17/12/2024,306523,203412.37,Payment,Partially Paid
258,Business Partner 42,16/12/2025,10/03/2026,206498,26628.26,Purchase Order,Partially Paid
259,Business Partner 36,20/01/2025,12/04/2025,416058,136665.3,Sales Invoice,Order Overdue
260,Business Partner 06,23/10/2025,16/01/2026,222986,113385.81,Purchase Order,Partially Paid
261,Business Partner 20,03/07/2024,30/07/2024,180166,170737.6,Credit Note,Pending
262,Business Partner 15,20/05/2024,08/06/2024,41456,12262.36,Purchase Order,Order Overdue
263,Business Partner 50,06/07/2025,11/09/2025,20790,13761.51,Debit Note,Pending
264,Business Partner 39,20/01/2025,08/02/2025,86064,15564.33,Debit Note,Pending
265,Business Partner 47,24/03/2025,29/03/2025,216408,78837.31,Sales Invoice,Overdue
266,Business Partner 40,18/10/2024,14/12/2024,123684,66048.64,Payment,Overdue
267,Business Partner 13,11/01/2025,07/04/2025,497568,283822.44,Credit Note,Overdue
268,Business Partner 50,15/10/2024,02/12/2024,264667,139601.2,Sales Invoice,Pending
269,Business Partner 39,21/05/2024,22/06/2024,28357,18181.91,Payment,Order Overdue
270,Business Partner 07,29/12/2025,05/03/2026,447256,55762.88,Purchase Order,Pending
271,Business Partner 18,05/04/2025,09/06/2025,78253,65031.9,Purchase Order,Pending
272,Business Partner 29,23/12/2024,26/12/2024,218525,11637.96,Debit Note,Partially Paid
273,Business Partner 16,30/01/2025,09/02/2025,197562,44360.33,Payment,Paid
274,Business Partner 46,27/10/2025,08/12/2025,415911,60743.51,Purchase Order,Partially Paid
275,Business Partner 31,13/12/2025,30/12/2025,398851,281403.81,Credit Note,Order Overdue
276,Business Partner 01,22/03/2024,24/03/2024,135177,29151.56,Sales Invoice,Order Overdue
277,Business Partner 47,15/09/2025,21/11/2025,222907,24784.33,Payment,Pending
278,Business Partner 20,04/05/2024,10/05/2024,126010,52902.22,Debit Note,Overdue
279,Business Partner 05,23/04/2024,25/06/2024,313863,168247.45,Debit Note,Order Overdue
280,Business Partner 16,05/01/2026,23/01/2026,153710,65978.31,Debit Note,Partially Paid
281,Business Partner 16,07/08/2025,29/09/2025,99206,65909.62,Purchase Order,Order Overdue
282,Business Partner 24,10/03/2024,16/05/2024,286255,145225.09,Debit Note,Order Overdue
283,Business Partner 02,03/02/2025,04/04/2025,23824,15144.22,Payment,Partially Paid
284,Business Partner 48,17/01/2024,02/03/2024,414411,27997.42,Sales Invoice,Paid
285,Business Partner 50,18/08/2025,29/09/2025,70945,3145.4,Debit Note,Partially Paid
286,Business Partner 42,28/06/2024,23/09/2024,244596,239904.45,Credit Note,Pending
287,Business Partner 09,05/03/2024,02/05/2024,20390,5983.29,Purchase Order,Pending
288,Business Partner 03,19/11/2024,28/12/2024,271209,108001.95,Debit Note,Overdue
289,Business Partner 17,07/02/2024,29/04/2024,101193,28952.42,Purchase Order,Partially Paid
290,Business Partner 18,07/05/2024,23/06/2024,230088,204660.17,Credit Note,Overdue
291,Business Partner 22,10/07/2024,11/09/2024,363843,181020.4,Debit Note,Partially Paid
292,Business Partner 06,14/01/2026,09/03/2026,42380,18249.13,Sales Invoice,Order Overdue
293,Business Partner 19,24/11/2024,07/12/2024,42979,14093.67,Payment,Partially Paid
294,Business Partner 29,09/09/2025,02/11/2025,88369,60953.83,Payment,Overdue
295,Business Partner 03,14/01/2026,28/02/2026,323359,322760.98,Payment,Paid
296,Business Partner 05,18/11/2025,07/02/2026,213971,77738.05,Sales Invoice,Paid
297,Business Partner 10,19/05/2026,04/08/2026,356513,278547.87,Purchase Order,Pending
298,Business Partner 05,29/08/2024,19/11/2024,193061,69917.15,Debit Note,Paid
299,Business Partner 39,06/06/2024,31/08/2024,236889,224765.86,Payment,Overdue
300,Business Partner 49,19/03/2024,31/05/2024,73191,38751.7,Credit Note,Partially Paid
301,Business Partner 42,12/10/2024,12/11/2024,60479,1567.21,Sales Invoice,Overdue
302,Business Partner 34,31/01/2025,12/04/2025,62740,16423.87,Payment,Overdue
303,Business Partner 14,18/09/2025,24/10/2025,364845,334372.75,Credit Note,Pending
304,Business Partner 08,18/05/2024,27/05/2024,238000,41092.21,Credit Note,Paid
305,Business Partner 44,15/05/2026,24/06/2026,351140,121994.92,Purchase Order,Order Overdue
306,Business Partner 35,24/10/2024,01/12/2024,447358,70461.23,Sales Invoice,Partially Paid
307,Business Partner 33,17/08/2024,01/09/2024,106371,84252.82,Sales Invoice,Overdue
308,Business Partner 02,04/01/2025,15/03/2025,301038,111056.28,Debit Note,Pending
309,Business Partner 40,29/03/2024,06/04/2024,163157,64962.59,Credit Note,Order Overdue
310,Business Partner 27,26/02/2026,19/04/2026,432666,248739.9,Sales Invoice,Partially Paid
311,Business Partner 42,16/03/2024,12/05/2024,245230,166783.13,Payment,Pending
312,Business Partner 50,18/07/2025,07/10/2025,309169,56257.36,Sales Invoice,Overdue
313,Business Partner 33,08/06/2026,15/06/2026,436888,54244.5,Sales Invoice,Partially Paid
314,Business Partner 11,14/06/2024,25/07/2024,491071,348332.44,Payment,Order Overdue
315,Business Partner 19,16/05/2026,26/05/2026,132389,25988.21,Debit Note,Partially Paid
316,Business Partner 09,02/10/2025,09/11/2025,323137,172386.49,Debit Note,Pending
317,Business Partner 38,17/08/2025,05/09/2025,90758,59785.28,Debit Note,Partially Paid
318,Business Partner 37,12/02/2024,15/02/2024,43584,1981.41,Debit Note,Partially Paid
319,Business Partner 42,03/08/2024,15/10/2024,219411,135619.79,Purchase Order,Overdue
